edu,edur,race,citizen,usborn,boyorgirl,son,daughter,leadership,lifesatisfaction,discrimination,publicoffice,happywithlife,femaleoffice,femaledisc,femaleleader,censusregion,communitytype,language,gender,age,party,partyln,ideology,milnow,popdensity,standingup,keepgovhonest,compromise,publicsafety,dealsocialissue,representpublic,nationalsecurity,standingupr,keepgovhonestr,compromiser,publicsafetyr,dealsocialissuer,representpublicr,nationalsecurityr
graduate,college,white,US citizen,US born,boy,yes,yes,NA,72,23.53,64.29,NA,yes,no,NA,North East,R,English,male,58,Republica,Republican,NA,yes I am,NA,no difference,no difference,no difference,men,women,no difference,men,NA,NA,NA,men,women,NA,men
two year college,less than college,white,US citizen,US born,either,yes,yes,42.86,NA,41.18,92.86,NA,yes,no,no,south,U,English,female,56,Republica,Republican,NA,no,NA,no difference,no difference,women,no difference,no difference,no difference,no difference,NA,NA,women,NA,NA,NA,NA
two year college,less than college,Others,US citizen,Not US born,girl,yes,no,NA,NA,NA,78.57,NA,yes,NA,NA,west,S,English,female,23,Republica,Democrat,NA,my spouse is,NA,no difference,no difference,women,no difference,no difference,no difference,men,NA,NA,women,NA,NA,NA,men
HS or less,less than college,white,US citizen,US born,boy,NA,NA,100,94,41.18,100,yes,yes,no,yes,south,U,English,male,30,NA,Do not know,very conservative,my spouse is,NA,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
HS or less,less than college,white,US citizen,US born,girl,no,yes,NA,78,NA,57.14,yes,yes,NA,NA,south,S,English,female,46,NA,Do not know,very conservative,yes both,NA,men,no difference,men,no difference,no difference,no difference,men,men,NA,men,NA,NA,NA,men
HS or less,less than college,NA,Not US citizen,Not US born,boy,yes,yes,NA,78,47.06,100,yes,yes,no,NA,west,U,Spanish,male,51,NA,Do not know,NA,my spouse is,NA,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
graduate,college,Others,Not US citizen,Not US born,either,yes,no,78.57,NA,NA,NA,NA,NA,NA,yes,south,U,English,male,38,NA,Republican,NA,no,NA,no difference,NA,NA,no difference,women,women,no difference,NA,NA,NA,NA,women,women,NA
two year college,less than college,white,US citizen,US born,either,yes,yes,35.71,72,64.71,85.71,NA,yes,yes,no,south,S,English,female,63,Republica,Do not know,conservative,yes both,high,no difference,no difference,women,no difference,women,no difference,no difference,NA,NA,women,NA,women,NA,NA
graduate,college,white,US citizen,US born,boy,yes,yes,42.86,78,41.18,50,yes,yes,no,no,south,S,English,female,64,Republica,Republican,NA,my spouse is,high,men,women,women,men,women,no difference,no difference,men,women,women,men,women,NA,NA
HS or less,less than college,white,US citizen,US born,boy,yes,yes,42.86,78,29.41,92.86,yes,yes,no,no,south,U,English,female,42,NA,Republican,NA,my spouse is,NA,women,no difference,no difference,no difference,no difference,no difference,no difference,women,NA,NA,NA,NA,NA,NA
four year college,college,white,US citizen,US born,girl,yes,yes,78.57,61,52.94,71.43,no,yes,yes,yes,west,S,English,female,33,Republica,Do not know,NA,no,NA,no difference,no difference,women,no difference,no difference,women,men,NA,NA,women,NA,NA,women,men
HS or less,less than college,white,US citizen,US born,boy,NA,NA,25,78,29.41,28.57,yes,no,no,no,south,S,English,male,19,NA,Republican,NA,no,high,no difference,men,women,men,women,men,men,NA,men,women,men,women,men,men
two year college,less than college,white,US citizen,US born,boy,yes,no,NA,NA,47.06,42.86,NA,NA,no,NA,south,R,English,female,71,Republica,Republican,NA,my spouse is,high,no difference,no difference,men,men,no difference,men,men,NA,NA,men,men,NA,men,men
two year college,less than college,white,US citizen,US born,either,yes,yes,NA,NA,35.29,71.43,NA,yes,no,NA,midwest,S,English,male,79,Republica,Do not know,very conservative,yes both,high,no difference,no difference,no difference,men,no difference,no difference,men,NA,NA,NA,men,NA,NA,men
HS or less,less than college,white,US citizen,US born,boy,yes,no,NA,89,35.29,28.57,yes,no,no,NA,south,S,English,female,49,Republica,Republican,NA,yes I am,high,no difference,no difference,men,men,men,men,men,NA,NA,men,men,men,men,men
HS or less,less than college,white,US citizen,US born,girl,yes,yes,14.29,56,29.41,14.29,no,no,no,no,midwest,U,English,male,51,NA,Republican,NA,yes both,NA,men,men,women,men,women,men,men,men,men,women,men,women,men,men
two year college,less than college,white,US citizen,US born,boy,yes,yes,28.57,67,52.94,78.57,no,yes,yes,no,midwest,S,English,female,68,Republica,Republican,NA,yes both,high,no difference,women,men,no difference,no difference,no difference,no difference,NA,women,men,NA,NA,NA,NA
HS or less,less than college,white,US citizen,US born,either,no,yes,NA,100,23.53,0,yes,no,no,NA,south,R,English,male,57,Republica,Republican,NA,my spouse is,high,men,men,men,men,men,men,men,men,men,men,men,men,men,men
graduate,college,white,US citizen,US born,boy,yes,no,NA,56,52.94,57.14,no,yes,yes,NA,south,S,English,male,52,Republica,Republican,NA,my spouse is,high,no difference,women,no difference,men,women,no difference,men,NA,women,NA,men,women,NA,men
two year college,less than college,white,US citizen,US born,either,yes,yes,NA,NA,NA,100,NA,yes,NA,NA,south,U,English,male,69,Republica,Republican,NA,yes I am,NA,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
HS or less,less than college,white,US citizen,US born,boy,NA,NA,NA,83,35.29,100,yes,yes,no,NA,west,S,English,female,18,Republica,Do not know,very conservative,my spouse is,high,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
four year college,college,white,US citizen,US born,either,NA,NA,NA,78,70.59,100,yes,yes,yes,NA,midwest,R,English,female,22,Republica,Republican,NA,my spouse is,NA,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
four year college,college,white,US citizen,US born,either,yes,yes,64.29,78,17.65,64.29,yes,yes,no,NA,south,R,English,male,54,Republica,Republican,NA,my spouse is,NA,no difference,no difference,no difference,men,women,no difference,men,NA,NA,NA,men,women,NA,men
HS or less,less than college,white,US citizen,US born,girl,NA,NA,28.57,94,29.41,7.14,yes,no,no,no,south,U,English,male,18,NA,Republican,NA,NA,NA,men,men,men,women,men,men,men,men,men,men,women,men,men,men
HS or less,less than college,NA,US citizen,US born,girl,no,yes,NA,NA,23.53,42.86,NA,NA,no,NA,south,U,English,female,23,Republica,Republican,NA,no,NA,no difference,no difference,men,men,women,women,men,NA,NA,men,men,women,women,men
HS or less,less than college,NA,US citizen,US born,either,yes,yes,NA,83,29.41,100,yes,yes,no,NA,south,S,English,female,37,NA,Do not know,very conservative,no,NA,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
four year college,college,white,US citizen,US born,either,NA,NA,NA,78,64.71,14.29,yes,no,yes,NA,North East,S,English,male,23,Republica,Republican,NA,yes both,NA,men,women,men,men,women,men,men,men,women,men,men,women,men,men
four year college,college,white,US citizen,US born,boy,yes,yes,28.57,56,29.41,92.86,no,yes,no,no,North East,U,English,male,75,Republica,Do not know,very conservative,my spouse is,NA,no difference,women,no difference,no difference,no difference,no difference,no difference,NA,women,NA,NA,NA,NA,NA
four year college,college,white,US citizen,US born,either,yes,yes,100,NA,64.71,100,NA,yes,yes,yes,south,S,English,female,65,Republica,Republican,NA,my spouse is,NA,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
four year college,college,white,US citizen,US born,either,yes,yes,NA,NA,17.65,100,NA,yes,no,NA,south,R,English,male,64,Republica,Republican,NA,yes I am,high,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
HS or less,less than college,white,US citizen,US born,either,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,midwest,R,English,male,75,Republica,Do not know,very conservative,NA,high,no difference,NA,women,men,women,NA,men,NA,NA,women,men,women,NA,men
HS or less,less than college,white,US citizen,US born,girl,NA,NA,NA,72,76.47,28.57,NA,no,yes,NA,midwest,S,English,male,32,Republica,Democrat,NA,my spouse is,NA,men,women,women,men,women,women,men,men,women,women,men,women,women,men
HS or less,less than college,white,US citizen,US born,girl,NA,NA,NA,83,70.59,100,yes,yes,yes,NA,North East,S,English,female,48,Republica,Republican,NA,my spouse is,high,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
two year college,less than college,Others,US citizen,US born,girl,no,yes,35.71,83,47.06,35.71,yes,no,no,no,west,S,English,male,28,Republica,Republican,NA,yes both,high,men,women,men,women,women,no difference,men,men,women,men,women,women,NA,men
HS or less,less than college,white,US citizen,US born,either,no,yes,57.14,67,41.18,64.29,no,yes,no,no,south,U,English,male,45,NA,Do not know,NA,my spouse is,high,women,women,no difference,no difference,women,no difference,men,women,women,NA,NA,women,NA,men
two year college,less than college,white,US citizen,US born,either,yes,yes,NA,NA,94.12,21.43,NA,no,yes,NA,south,R,English,female,76,Republica,Republican,NA,yes I am,high,men,women,women,men,men,women,men,men,women,women,men,men,women,men
HS or less,less than college,white,US citizen,US born,girl,no,yes,28.57,NA,64.71,14.29,NA,no,yes,no,south,S,English,female,84,Republica,Republican,NA,my spouse is,NA,men,women,women,men,men,men,men,men,women,women,men,men,men,men
two year college,less than college,white,US citizen,US born,either,yes,yes,42.86,78,41.18,14.29,yes,no,no,no,south,S,English,female,32,Republica,Republican,NA,yes I am,high,men,men,women,women,men,men,men,men,men,women,women,men,men,men
graduate,college,white,US citizen,US born,boy,yes,no,NA,50,NA,57.14,no,yes,NA,NA,west,S,English,male,69,Republica,Republican,NA,yes I am,NA,no difference,no difference,men,men,no difference,no difference,men,NA,NA,men,men,NA,NA,men
HS or less,less than college,white,US citizen,US born,girl,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,midwest,R,English,female,79,Republica,NA,NA,yes I am,high,NA,NA,men,women,women,no difference,NA,NA,NA,men,women,women,NA,NA
HS or less,less than college,white,US citizen,US born,either,no,yes,NA,NA,17.65,57.14,NA,yes,no,NA,west,R,English,female,65,Republica,Republican,NA,my spouse is,NA,no difference,no difference,men,men,no difference,no difference,men,NA,NA,men,men,NA,NA,men
two year college,less than college,white,US citizen,US born,boy,NA,NA,NA,56,70.59,35.71,no,no,yes,NA,midwest,S,English,female,60,Republica,Republican,NA,my spouse is,high,men,women,women,men,no difference,women,men,men,women,women,men,NA,women,men
four year college,college,white,US citizen,US born,either,no,yes,71.43,78,11.76,100,yes,yes,no,yes,south,S,English,female,39,Republica,Republican,NA,my spouse is,high,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
HS or less,less than college,NA,US citizen,US born,either,NA,NA,50,83,11.76,28.57,yes,no,no,no,midwest,S,English,male,46,Republica,Republican,NA,my spouse is,high,men,men,men,men,no difference,no difference,men,men,men,men,men,NA,NA,men
HS or less,less than college,white,US citizen,US born,boy,yes,no,NA,NA,52.94,42.86,NA,NA,yes,NA,south,R,English,female,80,Republica,Republican,NA,yes I am,NA,no difference,no difference,men,men,no difference,men,men,NA,NA,men,men,NA,men,men
graduate,college,white,US citizen,US born,girl,yes,yes,NA,67,58.82,100,no,yes,yes,NA,south,S,English,male,55,Republica,Republican,NA,yes both,high,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
two year college,less than college,white,US citizen,US born,boy,yes,no,NA,83,41.18,100,yes,yes,no,NA,west,S,English,male,61,Republica,Republican,NA,my spouse is,low,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
HS or less,less than college,white,US citizen,US born,boy,yes,no,42.86,61,41.18,7.14,no,no,no,no,midwest,S,English,female,23,Republica,Republican,NA,yes I am,NA,men,men,men,men,women,men,men,men,men,men,men,women,men,men
HS or less,less than college,white,US citizen,US born,boy,yes,no,64.29,56,64.71,64.29,no,yes,yes,NA,North East,S,English,female,54,Republica,Republican,NA,yes both,low,no difference,no difference,women,men,no difference,no difference,men,NA,NA,women,men,NA,NA,men
graduate,college,white,US citizen,US born,either,no,yes,NA,83,52.94,85.71,yes,yes,yes,NA,south,R,English,male,54,Republica,Republican,NA,my spouse is,high,no difference,no difference,no difference,no difference,no difference,no difference,men,NA,NA,NA,NA,NA,NA,men
HS or less,less than college,white,US citizen,US born,either,yes,yes,NA,83,29.41,85.71,yes,yes,no,NA,south,U,English,female,48,Republica,Republican,NA,my spouse is,high,no difference,no difference,no difference,no difference,no difference,no difference,men,NA,NA,NA,NA,NA,NA,men
two year college,less than college,white,US citizen,US born,either,no,yes,92.86,61,41.18,100,no,yes,no,yes,midwest,R,English,male,74,Republica,Do not know,very conservative,yes both,high,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
two year college,less than college,white,US citizen,US born,boy,yes,yes,35.71,NA,NA,50,NA,yes,NA,no,North East,U,English,female,75,Republica,Republican,NA,my spouse is,NA,women,no difference,women,men,women,no difference,men,women,NA,women,men,women,NA,men
two year college,less than college,white,US citizen,US born,boy,NA,NA,NA,NA,29.41,71.43,NA,yes,no,NA,west,R,English,male,63,Republica,Republican,NA,my spouse is,NA,no difference,no difference,no difference,no difference,no difference,men,men,NA,NA,NA,NA,NA,men,men
four year college,college,white,US citizen,Not US born,girl,NA,NA,21.43,72,52.94,57.14,NA,yes,yes,no,south,S,English,female,27,NA,Republican,NA,my spouse is,NA,no difference,no difference,men,no difference,women,women,men,NA,NA,men,NA,women,women,men
four year college,college,white,US citizen,US born,either,yes,yes,NA,NA,NA,42.86,NA,NA,NA,NA,south,U,English,male,75,Republica,Republican,NA,yes I am,NA,no difference,no difference,women,men,women,men,men,NA,NA,women,men,women,men,men
four year college,college,NA,US citizen,US born,either,yes,yes,NA,89,NA,21.43,yes,no,NA,NA,south,U,English,male,68,Republica,Do not know,very conservative,my spouse is,NA,men,no difference,women,men,men,men,men,men,NA,women,men,men,men,men
four year college,college,white,US citizen,US born,either,yes,no,NA,78,11.76,100,yes,yes,no,NA,south,U,English,female,58,Republica,Republican,NA,my spouse is,NA,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
HS or less,less than college,white,US citizen,US born,boy,yes,no,50,83,41.18,64.29,yes,yes,no,no,south,R,English,male,46,Democrat,Do not know,very conservative,yes both,NA,women,women,no difference,men,women,no difference,no difference,women,women,NA,men,women,NA,NA
graduate,college,white,US citizen,US born,either,no,yes,NA,72,52.94,85.71,NA,yes,yes,NA,south,R,English,female,44,Republica,Republican,NA,yes I am,NA,no difference,no difference,no difference,no difference,no difference,no difference,men,NA,NA,NA,NA,NA,NA,men
